Scheme,Document,Requirement,Remarks
National Overseas Scholarship (NOS) for ST Students,Latest coloured passport-size photograph,Mandatory,Fresh registration/application
National Overseas Scholarship (NOS) for ST Students,ST certificate issued by competent authority,Mandatory,Required
National Overseas Scholarship (NOS) for ST Students,PVTG certificate,Conditional,Only if applicable
National Overseas Scholarship (NOS) for ST Students,10th certificate/marksheet,Mandatory,For date of birth
National Overseas Scholarship (NOS) for ST Students,Graduation/Post-Graduation marksheet / equivalent percentage / Ph.D completion certificate where applicable,Mandatory/Conditional,Depends on course
National Overseas Scholarship (NOS) for ST Students,Conversion sheet from CGPA to percentage,Conditional,Where applicable
National Overseas Scholarship (NOS) for ST Students,Offer of admission,Mandatory,Required
National Overseas Scholarship (NOS) for ST Students,Income certificate,Mandatory,Required
National Fellowship Scheme,Latest coloured passport-size photograph,Mandatory,Required
National Fellowship Scheme,ST/PVTG certificate issued by competent authority,Mandatory,Required
National Fellowship Scheme,10th/Matriculation/equivalent certificate,Mandatory,For date of birth
National Fellowship Scheme,Divyangjan certificate,Conditional,Where applicable
National Fellowship Scheme,Post-Graduation marksheet / equivalent percentage,Mandatory,CGPA conversion formula if applicable
National Fellowship Scheme,Admission/Joining certificate of M.Phil/Ph.D/Integrated M.Phil+Ph.D,Mandatory,From university concerned
National Fellowship Scheme,Offer of admission for IITs/AIIMS/IIMs/IISERs,Conditional,Where applicable
National Scholarship Scheme (Higher Education),ST Certificate/PVTG Certificate,Mandatory for fresh,Signed and stamped by competent authority
National Scholarship Scheme (Higher Education),Income Certificate,Mandatory for fresh,Previous financial year for fresh candidate
National Scholarship Scheme (Higher Education),Fee Receipt,Mandatory,Fresh and renewal
National Scholarship Scheme (Higher Education),Scanned bank passbook,Mandatory,Fresh and renewal; student name should match application
National Scholarship Scheme (Higher Education),Qualifying examination marksheet/certificate,Mandatory,Graduate: 12th; PG: Graduation; renewal: last passing semester marksheet
National Scholarship Scheme (Higher Education),Bona fide Certificate from Institute,Mandatory,Fresh and renewal
Pre-Matric Scholarship for ST Students,Aadhaar Number,Mandatory,Required
Pre-Matric Scholarship for ST Students,Domicile certificate,Mandatory,Required
Pre-Matric Scholarship for ST Students,ST certificate,Mandatory,Competent authority of State
Pre-Matric Scholarship for ST Students,Family Income Certificate,Mandatory,Required
Pre-Matric Scholarship for ST Students,Disability certificate,Conditional,Where applicable
Pre-Matric Scholarship for ST Students,Passport-size photograph,Mandatory,Scanned copy
Post Matric Scholarship for ST Students,Aadhaar Number,Mandatory,Required
Post Matric Scholarship for ST Students,Domicile certificate,Mandatory,Required
Post Matric Scholarship for ST Students,Certificates/diploma/degree for examinations passed,Mandatory,Scanned copies
Post Matric Scholarship for ST Students,Last qualified marks / equivalent percentage,Mandatory,Required
Post Matric Scholarship for ST Students,ST certificate,Mandatory,Competent authority of State/UT
Post Matric Scholarship for ST Students,Family Income Certificate,Mandatory,Required
Post Matric Scholarship for ST Students,Disability certificate,Conditional,Where applicable
Post Matric Scholarship for ST Students,Passport-size photograph,Mandatory,Scanned copy
