applicant_id,scheme,st_status,pvtg_status,domicile_matches_st,gender,age_years,course_level,qualifying_marks_pct,family_income_inr,institution_top1000_qs,ministry_notified_institution_course,institution_category,school_government_or_recognized,recognized_course_institution,regular_full_time,admission_secured,admission_offer,admission_certificate,passed_required_qualifying_exam,scheduled_bank_aadhaar_mobile_linked,other_govt_scholarship_same_study,other_scholarship,same_parents_other_child_awarded,previous_nos_award,repeating_same_class,same_stream_requirement_satisfied,fresh_or_renewal,required_documents_complete,document_issue,rule_eligibility,source_pdf,application_ready_for_processing,document_check_result
TEST-0001,National Overseas Scholarship (NOS) for ST Students,ST,PVTG,,Female,28,Master's,48.0,300000,True,,,,,,,True,,,,False,,True,True,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0002,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,34,Ph.D,51.0,675000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0003,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,37,Post-Doctoral Research,60.0,400000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0004,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,29,Master's,53.0,725000,False,,,,,,,True,,,,False,,False,False,,,,False,Missing income certificate,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Deficiency - missing document
TEST-0005,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,33,Ph.D,62.0,500000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0006,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,38,Post-Doctoral Research,50.0,675000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0007,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,28,Master's,49.0,350000,True,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0008,National Overseas Scholarship (NOS) for ST Students,ST,PVTG,,Male,34,Ph.D,52.0,725000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0009,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,37,Post-Doctoral Research,58.0,450000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0010,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,29,Master's,54.0,675000,False,,,,,,,True,,,,False,,False,False,,,,False,Missing offer of admission,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Deficiency - missing document
TEST-0011,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,33,Ph.D,60.0,300000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0012,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,38,Post-Doctoral Research,51.0,725000,False,,,,,,,True,,,,False,,True,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0013,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,28,Master's,50.0,400000,True,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0014,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,34,Ph.D,53.0,675000,False,,,,,,,True,,,,False,,False,True,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0015,National Overseas Scholarship (NOS) for ST Students,ST,PVTG,,Male,37,Post-Doctoral Research,64.0,500000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0016,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,29,Master's,50.0,725000,False,,,,,,,True,,,,False,,False,False,,,,False,Missing income certificate,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Deficiency - missing document
TEST-0017,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,33,Ph.D,58.0,350000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0018,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,38,Post-Doctoral Research,52.0,675000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0019,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Female,28,Master's,51.0,450000,True,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0020,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,34,Ph.D,54.0,725000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0021,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,37,Post-Doctoral Research,62.0,300000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Eligible,RevisedGuidelinesNOS07102022.pdf,Yes,Complete - requires verification
TEST-0022,National Overseas Scholarship (NOS) for ST Students,ST,PVTG,,Female,29,Master's,51.0,675000,False,,,,,,,True,,,,False,,False,False,,,,False,Missing offer of admission,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Deficiency - missing document
TEST-0023,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,33,Ph.D,64.0,400000,False,,,,,,,True,,,,False,,True,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0024,National Overseas Scholarship (NOS) for ST Students,ST,ST,,Male,38,Post-Doctoral Research,53.0,725000,False,,,,,,,True,,,,False,,False,False,,,,True,None,Not Eligible,RevisedGuidelinesNOS07102022.pdf,No,Complete - requires verification
TEST-0025,National Fellowship Scheme,ST,PVTG,,Female,30,M.Phil,55.0,900000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0026,National Fellowship Scheme,ST,ST,,Male,37,M.Phil + Ph.D,51.0,910000,,,Deemed University eligible under Section 3,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0027,National Fellowship Scheme,ST,ST,,Male,32,Ph.D,57.0,920000,,,Central/State Government grant institution,,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
TEST-0028,National Fellowship Scheme,ST,ST,,Male,37,M.Phil,53.0,930000,,,Institute of National Importance,,,True,,,True,,,False,,,,,,,True,None,Not Eligible,GuidelinesFellowshipandScholarship2022.pdf,No,Complete - requires verification
TEST-0029,National Fellowship Scheme,ST,ST,,Female,34,M.Phil + Ph.D,59.0,940000,,,UGC 2(f)/12(B),,,True,,,True,,,False,,,,,,,True,None,Eligible,GuidelinesFellowshipandScholarship2022.pdf,Yes,Complete - requires verification
